口味,人均消费,性价比,性价比_n,口味_n,人均消费_n
7.889937106918237,94.42672413793103,0.31083470990986195,0.16667539223800615,0.8144209486593398,0.5518424625851257
7.3947454844006515,125.56227758007117,0.2365292230510339,0.08528579226899288,0.11700603185418218,0.8029277682509496
7.350124999999999,50.47875,0.5639420196695965,0.44391336700178297,0.05416370980948412,0.19743442097693217
7.5,150.0,0.15866666666666668,0.0,0.2652437360117884,1.0
7.984873949579832,91.41176470588235,0.3257312642195272,0.18299214955208987,0.9481275123729244,0.5275290354294859
7.6309417040358944,45.05315886321816,0.6015747957840806,0.4851339648763449,0.4496586038608016,0.15368102466977424
7.489197267292914,63.24914383561644,0.4248017115710668,0.29150774401972795,0.25002945008773025,0.3004182412468155
7.772500000000001,71.125,0.44150152768169537,0.309799681940577,0.6490256018341594,0.36393122026256225
7.311666666666668,46.25833333333333,0.6113883266670717,0.4958830950767523,0.0,0.16339986910181065
7.3617298797409765,25.996114708603145,1.014228886915657,0.9371295418192004,0.07050771861548934,0.0
7.77043580683156,75.80283353010626,0.40344458324194515,0.2681144765145091,0.6461184462172709,0.40165450223162164
7.9598243688254735,111.51863990167963,0.2877422197597909,0.14138131753295138,0.9128483386482424,0.6896761741949216
7.503863987635234,86.79421221864952,0.334274497603261,0.19234987503022397,0.2706856750362459,0.49029187567128935
7.693175074183976,113.28215767634855,0.2695513075527004,0.12145612586548524,0.5373064530785816,0.703897646131263
7.353606027987084,59.05705059203444,0.48215259926224263,0.3543263325839996,0.059066298491550824,0.26661209691729715
7.607396449704138,64.83630952380952,0.466233106193663,0.33688911189768844,0.4164980840857426,0.31321756349759333
7.949427776059366,98.5240506329114,0.2824540421666364,0.13558897732946598,0.8982060495841249,0.5848843828874779
7.606011235955053,73.5349630471859,0.42985781307217896,0.29704588253377984,0.41454718530707596,0.38336579718346053
7.524346353339705,30.70661991286792,1.071627129515946,1.0,0.29953250265649484,0.03798675495687539
7.791221374045806,59.61068702290076,0.6112340354355467,0.4957140940763766,0.6753922949059303,0.27107676695215394
7.6355204736062765,91.48443473511742,0.33374820445305914,0.1917734063093778,0.45610722304939577,0.5281150656902661
8.021705426356592,71.25196850393701,0.49741506021127097,0.37104388122941995,1.0,0.3649551277283537
7.4690306122449,61.305644302449416,0.6050745004645517,0.48896732329971937,0.22162726109058228,0.2847453489934801
7.873469387755103,123.47524752475248,0.1800636683500203,0.023436942292742038,0.7912282441225826,0.786097408053651
7.541071428571426,67.33928571428571,0.46246067928414764,0.332757030539267,0.3230876607425482,0.3334022229104371
7.853583156268119,93.96098692534795,0.36719916786136636,0.2284135071346746,0.7632209963271689,0.5480866350036863
7.505263157894737,27.94736842105263,0.9217455841534669,0.8358290950577308,0.27265622979879667,0.01573542399791936
7.508283132530121,96.59365558912387,0.28565294731653607,0.13909285869133367,0.27690948301092116,0.5693171686888963
