ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787541040238,5d43fac27e62ba2bae19f927,,[瑞士]雅克·赫佐格等,都市,,2009-10,四川出版集团,书籍,欧洲都市圈的典范,,巴塞尔都市圈,58.00元,16开；铜版纸；彩色印刷；平装,7.5,53.0,,294
9787517109396,5d43fac27e62ba2bae19f928,,黄韦达,都市,,2015-1,中国言实出版社,书籍,都市情感科幻小说,,脑控手机,32.00元,平装,,,,244
9787540465353,5d43fac27e62ba2bae19f929,,尹文思,都市,,2014-1-6,湖南文艺出版社,书籍,激励都市奋斗小青年的暖心书,,因为有梦 所以远方,29.80,平装,7.1,136.0,,224
9787549554980,5d43fac27e62ba2bae19f92a,,郭于华,都市,理想国,2014-7,广西师范大学出版社,书籍,当代都市的业主维权和社区建设,,居住的政治,68.00,精装,7.2,55.0,,356
9787532114757,5d43fac27e62ba2bae19f92b,,,都市,,1996,上海文艺出版社,书籍,陈丹燕都市爱情三部曲之三,,纽约假日,7.50,,7.0,88.0,,144
9787801737601,5d43fac27e62ba2bae19f92c,,,都市,,2013-1,国际文化出版公司,书籍,,,良言写意,28.00元,平装16开,7.2,6967.0,,284
9787508610351,5d43fac37e62ba2bae19f92d,,一扔就涨,都市,,2008-1,中信出版社,书籍,一轮十年一遇的超级大牛市，一个股市中永远不败的秘诀！,,股剩是怎样炼成的,29.00元,平装,7.1,163.0,,217
9787509774519,5d43fac37e62ba2bae19f92e,当代中国社会变迁研究文库,施芸卿,都市,,2015-6-1,社会科学文献出版社,书籍,旧城改造与都市运动中的国家与个人,,再造城民,68.00元,平装,7.5,23.0,,300
9787569915822,5d43fac37e62ba2bae19f92f,,阎海军,都市,领读文化,2017-7-1,北京时代华文书局,书籍,一个人的乡村与都市,,官墙里,42,平装,7.1,94.0,,240
9787801738721,5d43fac37e62ba2bae19f930,,,都市,,2009年6月,国际文化出版公司,书籍,,,被遗忘的时光,25.00元,精装,7.2,2524.0,,275页
9789888208609,5d43fac77e62ba2bae19f931,,金曄路,都市,,2014-12-31,香港大学出版社,书籍,中國都市女同志社群與政治,,上海拉拉,,,6.7,26.0,廖愛晚,152
9787303111343,5d43fac77e62ba2bae19f932,当代中国文学学家文库,,都市,,2011-1,北京师范大学出版社,书籍,,,现代中国的文学、教育与都市想像,46.00元,,7.9,14.0,,370
9787807324546,5d43fac77e62ba2bae19f933,创龙传,,都市,,2006-11,接力出版社,书籍,蜃景都市,,创龙传5,15.00元,,7.5,107.0,简洁,224
9787535442673,5d43fac97e62ba2bae19f934,,念地儿,都市,,2010.2,长江文艺出版社,书籍,青春与都市文学的混合体,,浪漫的逃亡,22.00,平装,6.4,157.0,,198
