_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43ed7251eceec5c3085143,阿卡索外教网,2000人以上,数据分析,2019-08-01,深圳,本科,数据分析,"五险一金,员工旅游,健身俱乐部,带薪年假",经验1-3年,15k-20k,C轮,"教育,移动互联网",3
5d43ed7351eceec5c3085144,博悦,150-500人,数据分析,2019-08-0213:34:00,深圳,本科,数据分析师,团队管理 行业标杆 期权激励,经验3-5年,12k-18k,A轮,"电商,其他",3
5d43ed7351eceec5c3085145,美利金融,2000人以上,数据分析,2019-08-0211:08:00,深圳,本科,数据分析师（信贷策略）,六险一金 绩效奖金 带薪年假,经验3-5年,15k-20k,B轮,金融,3
5d43ed7351eceec5c3085146,鹏开信息,500-2000人,数据分析,2019-07-31,深圳,本科,数据分析,交通方便，假期多，加班少,经验3-5年,15k-20k,不需要融资,"移动互联网,信息安全",3
5d43ed7351eceec5c3085147,WeLab卫盈联,500-2000人,数据分析,2019-08-0209:19:00,深圳,本科,数据分析师,催收策略 数据分析 数据模型,经验3-5年,15k-25k,B轮,金融,3
5d43ed7351eceec5c3085148,KLOOK 客路旅行,500-2000人,数据分析,2019-07-29,深圳,本科,数据分析,国际化平台、环境舒适、好玩有趣,经验1-3年,18k-35k,D轮及以上,旅游,3
5d43ed7351eceec5c3085149,YIDATEC,2000人以上,数据分析,2019-07-30,深圳,本科,数据分析,顶尖的项目团队可以让你得到快速成长,经验3-5年,12k-15k,不需要融资,"移动互联网,游戏",3
5d43ed7351eceec5c308514a,乐逗游戏,500-2000人,数据分析,2019-08-01,深圳,本科,数据分析,领导好,经验5-10年,15k-25k,上市公司,游戏,3
5d43ed7451eceec5c308514b,采筑,50-150人,数据分析,2019-08-0213:00:00,深圳,本科,数据分析(销售),发展空间大，平台好,经验3-5年,10k-15k,天使轮,电商,3
5d43ed7451eceec5c308514c,迷你玩,150-500人,数据分析,2019-08-0210:45:00,深圳,本科,数据分析师-教育方向,领导好，年终奖，下午茶，扁平化管理,经验3-5年,10k-20k,B轮,游戏,3
5d43ed7451eceec5c308514d,德方智链,15-50人,数据分析,2019-08-0214:41:00,深圳,本科,数据分析师,福利待遇高，老板好，技术牛人多，发展好,经验5-10年,18k-25k,不需要融资,"移动互联网,金融",3
5d43ed7451eceec5c308514e,木槿科技,150-500人,数据分析,2019-08-0214:57:00,深圳,本科,数据分析师,AI金融科技、股东实力雄厚、大牛带队,经验3-5年,10k-20k,不需要融资,数据服务,3
5d43ed7451eceec5c308514f,立创商城,150-500人,数据分析,2019-08-01,深圳,本科,数据分析师（用户方向）,周末双休，五险一金，下午茶，工作氛围好,经验3-5年,15k-25k,A轮,"电商,硬件",3
5d43ed7451eceec5c3085150,DataEye,50-150人,数据分析,2019-07-27,深圳,本科,数据分析师,"五险一金 年底双薪,下午茶，旅游，晋升",经验1-3年,9k-18k,B轮,"移动互联网,游戏",3
5d43ed7551eceec5c3085151,新锐居品科技有限公司,50-150人,数据分析,2019-08-0211:15:00,深圳,本科,数据分析师,跨国团队，订单起量时刻,经验1-3年,8k-15k,A轮,"电商,消费生活",3
5d43ed7751eceec5c3085152,YIDATEC,2000人以上,数据分析,2019-07-30,深圳,不限,数据分析,顶尖的项目团队可以让你得到快速成长,经验1-3年,7k-9k,不需要融资,"移动互联网,游戏",4
5d43ed7751eceec5c3085153,WeLab卫盈联,500-2000人,数据分析,2019-08-0214:16:00,深圳,本科,数据分析师,扁平化 六险一金,经验1-3年,10k-20k,B轮,金融,4
5d43ed7751eceec5c3085154,DJI大疆创新,2000人以上,数据分析,2019-08-0212:10:00,深圳,本科,数据分析师,发展空间 公司平台,经验3-5年,12k-20k,未融资,硬件,4
5d43ed7751eceec5c3085155,一面数据,50-150人,数据分析,2019-08-0210:26:00,深圳,本科,数据分析师(商业方向，中高级）,大数据人工智能；名校系大牛；技术氛围浓,经验1-3年,10k-20k,A轮,"移动互联网,数据服务",4
5d43ed7851eceec5c3085156,乐易网络,150-500人,数据分析,2019-08-0210:10:00,深圳,本科,数据分析,"大神指导,高配团队,年终奖,带薪旅行",经验1年以下,8k-12k,A轮,"移动互联网,游戏",4
5d43ed7851eceec5c3085157,盈富斯,150-500人,数据分析,2019-08-0215:02:00,深圳,本科,数据分析(BI方向）,年终奖，知名电商，下午茶，免费零食,经验1-3年,10k-20k,C轮,电商,4
5d43ed7851eceec5c3085158,神策数据,150-500人,数据分析,2019-08-0214:13:00,深圳,本科,数据分析师-深圳,"五险一金,午餐补助,补充医疗,14薪",经验3-5年,15k-25k,C轮,数据服务,4
5d43ed7851eceec5c3085159,木槿科技,150-500人,数据分析,2019-08-0214:57:00,深圳,本科,数据分析师（应届生）,AI金融科技、股东实力雄厚、大牛带队,经验不限,7k-14k,不需要融资,数据服务,4
5d43ed7851eceec5c308515a,随手科技,500-2000人,数据分析,2019-08-0211:18:00,深圳,本科,数据分析师,团队氛围好，发展空间大,经验3-5年,13k-25k,C轮,金融,4
