_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业
5d43ea9351eceec5c30850bc,拾梦文化,50-150人,数据分析,2019-08-0214:51:00,上海,本科,广告数据分析师,"老板好,福利好,团建多",经验3-5年,10k-20k,A轮,"游戏,移动互联网"
5d43ea9351eceec5c30850bd,联蔚数据,150-500人,数据分析,2019-07-20,上海,本科,数据分析师（电商）,深入业务，超nice的办公环境,经验1-3年,10k-15k,不需要融资,数据服务
5d43ea9351eceec5c30850be,京东数字科技,2000人以上,数据分析,2019-07-30,上海,本科,数据分析师,福利待遇、人才发展,经验3-5年,20k-40k,上市公司,金融
5d43ea9351eceec5c30850bf,CraiditX,50-150人,数据分析,2019-08-0213:29:00,上海,本科,数据分析师,"AI技术,福利优厚,精英团队,弹性工作制",经验应届毕业生,10k-20k,B轮,"金融,数据服务"
5d43ea9351eceec5c30850c0,瑞安房地产,500-2000人,数据分析,2019-08-01,上海,本科,数据分析经理,优质地产开发商 外企,经验5-10年,25k-35k,上市公司,其他
5d43ea9351eceec5c30850c1,北风网,150-500人,数据分析,2019-07-16,上海,本科,数据分析师,五险一金 节假日福利 公司大平台大舞台,经验3-5年,15k-25k,C轮,教育
5d43ea9451eceec5c30850c2,华鑫证券,500-2000人,数据分析,2019-07-23,上海,不限,数据分析师,领导是大牛、福利待遇好、晋升空间大,经验1-3年,12k-20k,上市公司,金融
5d43ea9551eceec5c30850c3,信用飞/首付游,150-500人,数据分析,2019-08-01,上海,本科,模型数据分析师 (MJ000118),专业培训、扁平管理、晋升通畅、成长空间大,经验3-5年,15k-30k,B轮,移动互联网
5d43ea9551eceec5c30850c4,驰骛科技ChiefClouds,50-150人,数据分析,2019-08-0211:03:00,上海,本科,商业数据分析师,体检 员工餐 不打卡 地铁周边,经验3-5年,18k-36k,A轮,"数据服务,移动互联网"
5d43ea9551eceec5c30850c5,达达-京东到家,2000人以上,数据分析,2019-08-0214:30:00,上海,硕士,高级数据分析经理,"数据分析,经理,管理20+",经验5-10年,30k-50k,D轮及以上,消费生活
5d43ea9551eceec5c30850c6,平安健康互联网,2000人以上,数据分析,2019-07-30,上海,本科,32216W-数据分析,"五险一金,绩效奖金,定期体检,带薪年假",经验1年以下,10k-15k,上市公司,"移动互联网,医疗丨健康"
5d43ea9551eceec5c30850c7,上海麦晗科技有限公司,50-150人,数据分析,2019-07-28,上海,本科,数据分析师,发展前景具有吸引力,经验3-5年,15k-30k,未融资,移动互联网
