_id,企业,企业规模,关键词,发布时间,城市,学历要求,岗位名称,福利,经验要求,薪资,融资情况,行业,页数
5d43fb277e62ba2bae19f9b4,每日一淘,150-500人,数据挖掘,2019-07-18,北京,不限,数据挖掘算法（反欺诈）,待遇优厚,经验1-3年,20k-40k,不需要融资,"移动互联网,电商",7
5d43fb277e62ba2bae19f9b5,小米,2000人以上,数据挖掘,2019-07-30,北京,不限,高级数据挖掘工程师,空间大,经验3-5年,25k-50k,D轮及以上,硬件,7
5d43fb277e62ba2bae19f9b6,水滴公司,2000人以上,数据挖掘,2019-08-0210:44:00,北京,硕士,数据挖掘算法专家 (MJ000030),团队大牛 行业独角兽,经验不限,40k-60k,C轮,"移动互联网,医疗丨健康",7
5d43fb277e62ba2bae19f9b7,天数智芯,150-500人,数据挖掘,2019-08-0210:09:00,北京,硕士,数据挖掘工程师,AI行业 自主研发 精英团队,经验3-5年,25k-50k,A轮,"企业服务,数据服务",7
5d43fb287e62ba2bae19f9b8,四维图新,2000人以上,数据挖掘,2019-08-01,北京,博士,数据挖掘算法工程师,上市平台 14薪,经验不限,15k-25k,上市公司,"移动互联网,消费生活",7
5d43fb287e62ba2bae19f9b9,盈嘉互联,50-150人,数据挖掘,2019-08-0209:08:00,北京,本科,大数据/数据挖掘算法工程师,五险一金、期权奖励、各项补贴等,经验3-5年,15k-30k,不需要融资,"移动互联网,企业服务",7
5d43fb2a7e62ba2bae19f9ba,字节跳动,2000人以上,数据挖掘,2019-08-01,北京,本科,数据挖掘工程师-用户产品方向,六险一金，弹性工作，免费三餐，租房补贴,经验1-3年,20k-35k,C轮,文娱丨内容,8
5d43fb2a7e62ba2bae19f9bb,百度,2000人以上,数据挖掘,2019-07-24,北京,本科,机器学习/数据挖掘工程师,年底双薪，带薪年假，专人培养，技术氛围好,经验1-3年,15k-30k,不需要融资,工具,8
5d43fb2a7e62ba2bae19f9bc,滴滴,2000人以上,数据挖掘,2019-08-0211:22:00,北京,本科,资深数据挖掘工程师/专家/高级专家,发展前景、技术成长、福利待遇,经验3-5年,30k-60k,不需要融资,汽车丨出行,8
5d43fb2a7e62ba2bae19f9bd,美团点评,2000人以上,数据挖掘,2019-08-01,北京,硕士,智能-数据挖掘算法,上市公司 大牛云集 核心部门,经验3-5年,30k-50k,上市公司,消费生活,8
5d43fb2a7e62ba2bae19f9be,数美,150-500人,数据挖掘,2019-07-31,北京,本科,数据挖掘（校招）,"快速发展,人工智能,大数据,待遇好",经验应届毕业生,15k-25k,B轮,"企业服务,数据服务",8
5d43fb2a7e62ba2bae19f9bf,爱奇艺,2000人以上,数据挖掘,2019-07-10,北京,本科,/资深数据挖掘工程师,12天年假、六险一金,经验5-10年,25k-40k,上市公司,文娱丨内容,8
5d43fb2b7e62ba2bae19f9c0,360,2000人以上,数据挖掘,2019-08-0211:27:00,北京,本科,数据挖掘工程师,平台大，业务发展迅速，技术氛围浓厚,经验3-5年,16k-30k,上市公司,信息安全,8
5d43fb2b7e62ba2bae19f9c1,京东数字科技,2000人以上,数据挖掘,2019-08-0209:45:00,北京,本科,算法工程师-数据挖掘,班车、餐补,经验3-5年,23k-46k,上市公司,金融,8
5d43fb2b7e62ba2bae19f9c2,赞斐企业管理咨询,少于15人,数据挖掘,2019-07-26,北京,本科,数据挖掘,一线公司，福利待遇好，成长空间大。,经验5-10年,25k-42k,未融资,企业服务,8
