_id,cid,关键词,其他信息,发布时间,弹幕,标题
5d3ebc11dd389323d55a10b9,84682646,蔡徐坤,"28.35400,1,25,16777215,1557723248,0,ff773742,16033289909305348",2019-04-05 14:11:46,有钱了我一定买一个不卡的手机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ba,84682646,蔡徐坤,"49.35100,1,25,16777215,1557723269,0,ff773742,16033300908867584",2019-04-05 14:11:46,哎，手机配置过低，卡成这样,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10bb,84682646,蔡徐坤,"124.58200,1,25,16777215,1557725528,0,136b0eaf,16034485037957122",2019-04-05 14:11:46,捂器大师,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10bc,84682646,蔡徐坤,"81.23800,1,25,16777215,1557744540,0,5a7fa89e,16044452941398018",2019-04-05 14:11:46,头发飘了hhh,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10bd,84682646,蔡徐坤,"81.03200,5,25,15138834,1557749259,0,87ac2532,16046927351644162",2019-04-05 14:11:46,2.0新世界,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10be,84682646,蔡徐坤,"4.48000,5,25,6830715,1557749946,0,e315c2f2,16047287498178564",2019-04-05 14:11:46,我已经笑了，挑战失败,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10bf,84682646,蔡徐坤,"12.13200,1,25,16777215,1557751049,0,f8eb7965,16047865515737088",2019-04-05 14:11:46,我失败了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c0,84682646,蔡徐坤,"136.64600,1,25,16777215,1557756953,0,d6c0299,16050961056268354",2019-04-05 14:11:46,2.0终极好评，光速捂档,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c1,84682646,蔡徐坤,"57.79100,1,25,16777215,1557759425,0,8220a40c,16052256801554436",2019-04-05 14:11:46,挑战失败，有请下一位,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c2,84682646,蔡徐坤,"58.68900,1,25,16777215,1557759793,0,58319fa4,16052450033664004",2019-04-05 14:11:46,西游记后传看多了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c3,84682646,蔡徐坤,"12.75800,1,25,16777215,1557760895,0,b91082a3,16053027577266180",2019-04-05 14:11:46,对不起我已经笑疯了哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c4,84682646,蔡徐坤,"12.02000,5,25,15138834,1557768687,0,9673697a,16057112729223168",2019-04-05 14:11:46,我一看见他 我就想笑 完了 又挑战失败了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c5,84682646,蔡徐坤,"10.36400,1,25,16777215,1557812349,0,be1fdf8b,16080004362797060",2019-04-05 14:11:46,点进来就笑了，挑战失败,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c6,84682646,蔡徐坤,"87.67600,1,25,16777215,1557812445,0,be1fdf8b,16080054803496964",2019-04-05 14:11:46,搓澡那个我笑了哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c7,84682646,蔡徐坤,"164.90200,1,25,16777215,1557812558,0,be1fdf8b,16080113879744514",2019-04-05 14:11:46,哈哈哈哈发羊癫疯,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c8,84682646,蔡徐坤,"79.30900,1,25,16777215,1557835059,0,11be5be6,16091911139885060",2019-04-05 14:11:46,我不想笑的，不行了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10c9,84682646,蔡徐坤,"21.76300,1,25,16777215,1557836019,0,2629cfa2,16092414112956418",2019-04-05 14:11:46,噗哈哈哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ca,84682646,蔡徐坤,"192.73400,1,25,16777215,1557837104,0,f6d581e4,16092983372808192",2019-04-05 14:11:46,我笑了，挑战失败，233333,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10cb,84682646,蔡徐坤,"87.32600,1,25,16777215,1557837441,0,ba4dda4e,16093160029028354",2019-04-05 14:11:46,每一帧都是表情包hhhhhh,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10cc,84682646,蔡徐坤,"133.66100,5,25,16707842,1557844413,0,2a418e0a,16096815170977796",2019-04-05 14:11:46,等我有钱了，一定买个不卡的手机,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10cd,84682646,蔡徐坤,"46.36100,1,25,16777215,1557850990,0,f2895c24,16100263433601026",2019-04-05 14:11:46,2倍2倍,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10ce,84682646,蔡徐坤,"100.78700,1,25,16777215,1557851168,0,cf2444bc,16100356860149762",2019-04-05 14:11:46,2倍速我笑死了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10cf,84682646,蔡徐坤,"99.90400,1,25,16777215,1557852985,0,25069b82,16101309238738948",2019-04-05 14:11:46,哈哈哈哈哈哈哈哈哈哈这个地方二倍速太魔鬼了,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d0,84682646,蔡徐坤,"51.44400,1,25,16777215,1557857025,0,9a2ac92b,16103427787980802",2019-04-05 14:11:46,一种屎拉不出来的感jio。。。,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d1,84682646,蔡徐坤,"78.87900,1,25,16777215,1557898031,0,9ae1aded,16124926463311872",2019-04-05 14:11:46,手机烫的爆炸,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d2,84682646,蔡徐坤,"56.66600,5,25,8700107,1557906970,0,6385a05a,16129613373112322",2019-04-05 14:11:46,2.0我真的忍不住了，哈哈哈啊哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d3,84682646,蔡徐坤,"51.36200,1,25,16777215,1557913035,0,b527ae17,16132792908251136",2019-04-05 14:11:46,好棒的技术～,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d4,84682646,蔡徐坤,"36.71900,1,25,16777215,1557918842,0,499c410b,16135837463871490",2019-04-05 14:11:46,这只是卡了，为什么要律师函哈哈哈,【蔡徐坤】能坚持看完！不笑抽了不算！
5d3ebc11dd389323d55a10d5,84682646,蔡徐坤,"42.49000,5,25,16777215,1557925669,0,32c901bd,16139416917508098",2019-04-05 14:11:46,暂停学姿势的那个还健在吗,【蔡徐坤】能坚持看完！不笑抽了不算！
