ISBN,_id,丛书,作者,关键词,出品方,出版年,出版社,分类,副标题,原作名,名称,定价,装帧,评分,评论人数,译者,页数
9787020108671,5d43b31251eceec5c3080146,中国最佳科幻作品年选,姚海军主编,科幻,,2015-8,人民文学出版社,书籍,,,2014中国最佳科幻作品,33.00元,平装,8.0,43.0,,420
9787511317766,5d43b31251eceec5c3080147,王晋康科幻小说精选集,,科幻,,2012-4,中国华侨出版社,书籍,王晋康长篇科幻小说集2,,拉格朗日墓场,26.80元,平装,5.9,161.0,,226
9787536487116,5d43b31251eceec5c3080148,世界科幻大师丛书,,科幻,科幻世界,2017-10,四川科学技术出版社,书籍,,,世界科幻杰作选Ⅱ,38,平装,8.5,68.0,罗布,420
9787549215874,5d43b31251eceec5c3080149,,出版社,科幻,,,,书籍,科幻,,绘本作文小学生童话 科幻 假想 梦境作文,29.8元,,,,,
9787539529318,5d43b31251eceec5c308014a,科幻新概念理论丛书,王建元,科幻,,2006-12,福建少儿,书籍,香港科幻论文精选/科幻新概念理论丛书,,科幻.后现代.后人类-香港科幻论文精选,23.00元,,,,,182
9787221090423,5d43b31251eceec5c308014b,世界最新悬疑推理小说,[英]西蒙·史密斯,科幻,,2011-1,贵州人民出版社,书籍,,TheEndofScienceFiction,科幻小说的终结,25.00元,平装,5.7,139.0,张宪虎,192
9787536465701,5d43b31251eceec5c308014c,世界科幻大师丛书,田中光二,科幻,科幻世界,2008-12,四川科学技术出版社,书籍,世界科幻大师丛书,異星の人,异星人,21.00元,平装,6.5,136.0,舒忆,239
9787536466166,5d43b31251eceec5c308014d,世界科幻大师丛书,弗诺·文奇,科幻,科幻世界,2009,四川科学技术出版社,书籍,,TheCollectedStoriesofVernorVinge(2001),弗诺·文奇科幻小说集,39.00元,,8.5,325.0,孙开元等,600
9787302326182,5d43b31251eceec5c308014e,,,科幻,,2013-9,清华大学出版社,书籍,,,中国科幻大片,30,,7.4,267.0,,232
9789573313397,5d43b31251eceec5c308014f,,,科幻,,1996.09.01,皇冠文化,书籍,倪匡科幻小説91,,原形,NTD120元,平裝,7.4,187.0,,200頁
